,STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,HURT/GREVIOUS HURT,cluster,location,latitude,longitude
8392,GUJARAT,RAJKOT RURAL,2012,48,21,20,62,4,19,275,313,2,"RAJKOT RURAL, GUJARAT, INDIA",23,71.75
8394,GUJARAT,SURAT RURAL,2012,55,16,13,33,14,18,495,135,2,"SURAT RURAL, GUJARAT, INDIA",23,71.75
8395,GUJARAT,SURENDRANAGAR,2012,40,26,19,51,4,18,209,428,2,"SURENDRANAGAR, GUJARAT, INDIA",22.75,71.666667
8396,GUJARAT,TAPI,2012,11,4,5,3,1,4,93,64,2,"TAPI, GUJARAT, INDIA",21.1060413,72.7008247
8397,GUJARAT,VADODARA COMMR.,2012,29,34,11,67,9,112,1333,375,2,"VADODARA COMMR., GUJARAT, INDIA",23,71.75
8398,GUJARAT,VADODARA RURAL,2012,74,6,15,73,11,18,310,296,2,"VADODARA RURAL, GUJARAT, INDIA",23,71.75
8399,GUJARAT,VALSAD,2012,21,14,12,25,4,20,551,189,2,"VALSAD, GUJARAT, INDIA",20.43219565,73.1409893
8400,GUJARAT,W.RLY AHMEDABAD,2012,3,3,1,2,0,8,214,37,2,"W.RLY AHMEDABAD, GUJARAT, INDIA",23.02579,72.58727
8401,GUJARAT,W.RLY VADODARA,2012,5,0,0,3,4,5,390,33,2,"W.RLY VADODARA, GUJARAT, INDIA",22.29941,73.20812
8403,HARYANA,AMBALA RURAL,2012,13,15,11,28,1,6,209,66,2,"AMBALA RURAL, HARYANA, INDIA",29.25,76.33333
8404,HARYANA,AMBALA URBAN,2012,15,16,21,75,0,21,600,109,2,"AMBALA URBAN, HARYANA, INDIA",29.25,76.33333
8407,HARYANA,FATEHABAD,2012,17,23,15,49,2,12,339,115,2,"FATEHABAD, HARYANA, INDIA",29.51238035,75.42917898
8408,HARYANA,GRP,2012,21,6,1,10,2,16,429,12,2,"GRP, HARYANA, INDIA",29.25,76.33333
8411,HARYANA,JHAJJAR,2012,64,50,20,38,10,35,451,82,2,"JHAJJAR, HARYANA, INDIA",28.53364155,76.68981478
8412,HARYANA,JIND,2012,50,36,34,58,7,39,544,140,2,"JIND, HARYANA, INDIA",29.30182625,76.33847077
8413,HARYANA,KAITHAL,2012,31,20,18,38,2,11,337,175,2,"KAITHAL, HARYANA, INDIA",29.82282075,76.37830987
8415,HARYANA,KURUKSHETRA,2012,26,38,25,37,1,6,605,132,2,"KURUKSHETRA, HARYANA, INDIA",29.9693747,76.8482787
8416,HARYANA,MAHENDRAGARH,2012,39,28,14,25,12,22,299,115,2,"MAHENDRAGARH, HARYANA, INDIA",28.25,76.166667
8417,HARYANA,MEWAT,2012,12,52,50,29,26,26,483,69,2,"MEWAT, HARYANA, INDIA",27.993178,77.04073903
8418,HARYANA,PALWAL,2012,43,67,32,54,10,26,588,158,2,"PALWAL, HARYANA, INDIA",28.1769589,77.37311204
8419,HARYANA,PANCHKULA,2012,15,10,18,40,5,18,392,66,2,"PANCHKULA, HARYANA, INDIA",30.7137692,76.868276
8420,HARYANA,PANIPAT,2012,47,28,35,87,8,36,906,155,2,"PANIPAT, HARYANA, INDIA",29.3912753,76.9771675
8421,HARYANA,REWARI,2012,31,40,24,26,24,45,703,123,2,"REWARI, HARYANA, INDIA",28.1956468,76.6165179
8423,HARYANA,SIRSA,2012,27,26,30,90,6,14,483,242,2,"SIRSA, HARYANA, INDIA",29.583333,75.083333
8425,HARYANA,YAMUNANAGAR,2012,24,34,25,83,2,29,437,112,2,"YAMUNANAGAR, HARYANA, INDIA",30.2112003,77.28638972
8427,HIMACHAL PRADESH,BADDIPOLICEDIST,2012,7,4,12,10,1,0,37,171,2,"BADDIPOLICEDIST, HIMACHAL PRADESH, INDIA",31.91667,77.25
8428,HIMACHAL PRADESH,BILASPUR,2012,8,8,12,7,0,1,47,36,2,"BILASPUR, HIMACHAL PRADESH, INDIA",31.3380959,76.7611631
8429,HIMACHAL PRADESH,CHAMBA,2012,7,0,10,14,0,0,22,75,2,"CHAMBA, HIMACHAL PRADESH, INDIA",32.518429,76.23086566
8430,HIMACHAL PRADESH,CID,2012,0,0,0,0,0,0,1,0,2,"CID, HIMACHAL PRADESH, INDIA",31.91667,77.25
8431,HIMACHAL PRADESH,G.R.P.,2012,0,1,0,0,0,0,3,0,2,"G.R.P., HIMACHAL PRADESH, INDIA",31.91667,77.25
8432,HIMACHAL PRADESH,HAMIRPUR,2012,6,5,8,6,0,0,33,155,2,"HAMIRPUR, HIMACHAL PRADESH, INDIA",31.69255285,76.54105736
8433,HIMACHAL PRADESH,KANGRA,2012,24,8,26,52,0,2,127,187,2,"KANGRA, HIMACHAL PRADESH, INDIA",32.166667,76.25
8434,HIMACHAL PRADESH,KINNAUR,2012,2,1,6,2,0,0,10,8,2,"KINNAUR, HIMACHAL PRADESH, INDIA",31.5864184,78.396745
8435,HIMACHAL PRADESH,KULLU,2012,9,3,22,7,0,0,26,33,2,"KULLU, HIMACHAL PRADESH, INDIA",32.00186325,77.3789964
8436,HIMACHAL PRADESH,LAHAUL-SPITI,2012,0,0,2,0,0,0,2,1,2,"LAHAUL-SPITI, HIMACHAL PRADESH, INDIA",32.5038495,77.58227188
8437,HIMACHAL PRADESH,MANDI,2012,15,6,28,19,0,0,100,132,2,"MANDI, HIMACHAL PRADESH, INDIA",31.6723392,76.95331691
8438,HIMACHAL PRADESH,SHIMLA,2012,18,6,23,29,0,3,157,49,2,"SHIMLA, HIMACHAL PRADESH, INDIA",31.1041526,77.1709729
8439,HIMACHAL PRADESH,SIRMAUR,2012,8,4,17,11,0,1,54,34,2,"SIRMAUR, HIMACHAL PRADESH, INDIA",30.75,77.5
